datetime,price
2024-10-31T00:00:03+00:00,0.33
2024-11-01T00:00:03+00:00,0.12
2024-11-02T00:00:03+00:00,0.11
2024-11-03T00:00:03+00:00,0.11
2024-11-04T00:00:03+00:00,0.1
2024-11-05T00:00:02+00:00,0.11
2024-11-06T00:00:02+00:00,0.115
2024-11-07T00:00:03+00:00,0.185
2024-11-08T00:00:02+00:00,0.125
2024-11-09T00:00:03+00:00,0.165
2024-11-10T00:00:02+00:00,0.215
2024-11-11T00:00:02+00:00,0.215
2024-11-12T00:00:02+00:00,0.155
2024-11-13T00:00:03+00:00,0.165
2024-11-14T00:00:03+00:00,0.155
2024-11-15T00:00:03+00:00,0.3
2024-11-16T00:00:03+00:00,0.22
2024-11-17T00:00:03+00:00,0.24
2024-11-18T00:00:03+00:00,0.19
2024-11-19T00:00:03+00:00,0.18
2024-11-20T00:00:03+00:00,0.135
2024-11-21T00:00:03+00:00,0.12
2024-11-22T00:00:03+00:00,0.105
2024-11-23T00:00:04+00:00,0.34
2024-11-24T00:00:03+00:00,0.325
2024-11-25T00:00:03+00:00,0.355
2024-11-26T00:00:04+00:00,0.275
2024-11-27T00:00:03+00:00,0.235
2024-11-28T00:00:03+00:00,0.19
2024-11-29T00:00:04+00:00,0.19
2024-11-30T00:00:03+00:00,0.215
2024-12-01T00:00:03+00:00,0.195
2024-12-02T00:00:03+00:00,0.115
2024-12-03T00:00:03+00:00,0.165
2024-12-04T00:00:03+00:00,0.13
2024-12-05T00:00:03+00:00,0.08
2024-12-06T00:00:03+00:00,0.1
2024-12-07T00:00:03+00:00,0.085
2024-12-08T00:00:03+00:00,0.07
2024-12-09T00:00:02+00:00,0.06
2024-12-10T00:00:03+00:00,0.05
2024-12-11T00:00:03+00:00,0.036
2024-12-12T00:00:03+00:00,0.026
