datetime,price
2025-10-31T00:00:13+00:00,0.545
2025-11-01T00:00:19+00:00,0.38
2025-11-02T00:00:15+00:00,0.385
2025-11-03T00:00:18+00:00,0.36
2025-11-04T00:00:18+00:00,0.365
2025-11-05T00:00:20+00:00,0.32
2025-11-06T00:00:12+00:00,0.32
2025-11-07T00:00:20+00:00,0.325
2025-11-08T00:00:13+00:00,0.32
2025-11-09T00:00:32+00:00,0.325
2025-11-10T00:00:13+00:00,0.38
2025-11-11T00:00:21+00:00,0.37
2025-11-12T00:00:18+00:00,0.355
2025-11-13T00:00:19+00:00,0.345
2025-11-14T00:00:18+00:00,0.335
2025-11-15T00:00:22+00:00,0.31
2025-11-16T00:00:15+00:00,0.25
2025-11-17T00:00:19+00:00,0.255
2025-11-18T00:00:15+00:00,0.275
2025-11-19T00:00:22+00:00,0.27
2025-11-20T00:00:15+00:00,0.235
2025-11-21T00:00:24+00:00,0.23
2025-11-22T00:00:16+00:00,0.26
2025-11-23T00:00:17+00:00,0.265
2025-11-24T00:00:15+00:00,0.255
2025-11-25T00:00:20+00:00,0.315
2025-11-26T00:00:17+00:00,0.32
2025-11-27T00:00:21+00:00,0.465
2025-11-28T00:00:19+00:00,0.475
2025-11-29T00:00:26+00:00,0.485
2025-11-30T00:00:20+00:00,0.455
2025-12-01T00:00:23+00:00,0.495
2025-12-02T00:00:15+00:00,0.8
2025-12-03T00:00:23+00:00,0.845
2025-12-04T00:00:15+00:00,0.865
2025-12-05T00:00:17+00:00,0.89
2025-12-06T00:00:18+00:00,0.895
2025-12-07T00:00:31+00:00,0.89
2025-12-08T00:00:30+00:00,0.895
2025-12-09T00:00:27+00:00,0.915
2025-12-10T00:00:15+00:00,0.885
2025-12-11T00:00:16+00:00,0.93
2025-12-12T00:00:16+00:00,0.955
2025-12-13T00:00:19+00:00,0.979
2025-12-14T00:00:20+00:00,0.9795
2025-12-15T00:00:22+00:00,0.9685
2025-12-16T00:00:18+00:00,0.9675
2025-12-17T00:00:15+00:00,0.983
2025-12-17T00:00:36+00:00,0.983
2025-12-18T00:00:26+00:00,0.9815
2025-12-19T00:00:17+00:00,0.982
