datetime,price
2025-12-17T00:00:19+00:00,0.22
2025-12-17T00:00:38+00:00,0.22
2025-12-18T00:00:29+00:00,0.16
2025-12-19T00:00:20+00:00,0.3
2025-12-20T00:00:21+00:00,0.16
2025-12-21T00:00:21+00:00,0.215
2025-12-22T00:00:21+00:00,0.23
2025-12-23T00:00:24+00:00,0.2
2025-12-24T00:00:23+00:00,0.17
2025-12-25T00:00:33+00:00,0.105
2025-12-26T00:00:16+00:00,0.095
2025-12-27T00:00:21+00:00,0.135
2025-12-28T00:00:22+00:00,0.115
2025-12-29T00:00:39+00:00,0.125
2025-12-30T00:00:26+00:00,0.135
2025-12-31T00:00:24+00:00,0.145
2026-01-01T00:00:23+00:00,0.15
2026-01-02T00:00:22+00:00,0.09
2026-01-03T00:00:19+00:00,0.09
2026-01-04T00:00:22+00:00,0.13
2026-01-05T00:00:25+00:00,0.115
2026-01-06T00:00:27+00:00,0.12
2026-01-07T00:00:25+00:00,0.11
2026-01-08T00:00:41+00:00,0.095
2026-01-09T00:00:26+00:00,0.085
2026-01-10T00:00:26+00:00,0.021
2026-01-11T00:00:22+00:00,0.053
2026-01-12T00:00:25+00:00,0.043
2026-01-13T00:00:26+00:00,0.0815
2026-01-14T00:00:28+00:00,0.0625
2026-01-15T00:00:30+00:00,0.062
2026-01-16T00:00:33+00:00,0.054
2026-01-17T00:00:30+00:00,0.0485
2026-01-18T00:00:48+00:00,0.046
2026-01-19T00:00:25+00:00,0.0415
2026-01-20T00:00:27+00:00,0.0365
2026-01-21T00:00:29+00:00,0.024
2026-01-22T00:00:45+00:00,0.0175
2026-01-23T00:00:47+00:00,0.0235
2026-01-24T00:00:46+00:00,0.0135
2026-01-25T00:00:50+00:00,0.0115
2026-01-26T00:00:49+00:00,0.0095
2026-01-27T00:00:42+00:00,0.0115
2026-01-28T00:00:30+00:00,0.0085
2026-01-29T00:00:46+00:00,0.0005
