datetime,price
2025-09-19T00:00:08+00:00,0.505
2025-09-20T00:00:21+00:00,0.565
2025-09-21T00:00:05+00:00,0.53
2025-09-22T00:00:15+00:00,0.535
2025-09-23T00:00:12+00:00,0.545
2025-09-24T00:00:18+00:00,0.565
2025-09-25T00:00:05+00:00,0.58
2025-09-26T00:00:12+00:00,0.575
2025-09-27T00:00:10+00:00,0.57
2025-09-28T00:00:13+00:00,0.59
2025-09-29T00:00:04+00:00,0.59
2025-09-30T00:00:09+00:00,0.37
2025-10-01T00:00:07+00:00,0.375
2025-10-02T00:00:06+00:00,0.375
2025-10-03T00:00:02+00:00,0.39
2025-10-04T00:00:07+00:00,0.495
2025-10-05T00:00:09+00:00,0.595
2025-10-06T00:00:09+00:00,0.635
2025-10-07T00:00:05+00:00,0.88
2025-10-08T00:00:08+00:00,0.925
2025-10-09T00:00:14+00:00,0.915
2025-10-10T00:00:04+00:00,0.83
2025-10-11T00:00:11+00:00,0.81
2025-10-12T00:00:08+00:00,0.83
2025-10-13T00:00:08+00:00,0.81
2025-10-14T00:00:13+00:00,0.825
2025-10-15T00:00:07+00:00,0.83
2025-10-16T00:00:10+00:00,0.84
2025-10-17T00:00:11+00:00,0.83
2025-10-18T00:00:20+00:00,0.825
2025-10-19T00:00:14+00:00,0.775
2025-10-20T00:00:22+00:00,0.795
2025-10-21T00:00:12+00:00,0.835
2025-10-22T00:00:19+00:00,0.865
2025-10-23T00:00:10+00:00,0.91
2025-10-24T00:00:16+00:00,0.915
2025-10-25T00:00:15+00:00,0.925
2025-10-26T00:00:17+00:00,0.955
2025-10-27T00:00:16+00:00,0.94
2025-10-28T00:00:19+00:00,0.94
2025-10-29T00:00:18+00:00,0.91
2025-10-30T00:00:18+00:00,0.87
