datetime,price
2025-02-08T00:00:04+00:00,0.635
2025-02-09T00:00:06+00:00,0.635
2025-02-10T00:00:05+00:00,0.635
2025-02-11T00:00:04+00:00,0.64
2025-02-12T00:00:04+00:00,0.635
2025-02-13T00:00:04+00:00,0.685
2025-02-14T00:00:05+00:00,0.73
2025-02-15T00:00:04+00:00,0.69
2025-02-16T00:00:04+00:00,0.69
2025-02-17T00:00:04+00:00,0.685
2025-02-18T00:00:04+00:00,0.665
2025-02-19T00:00:04+00:00,0.68
2025-02-20T00:00:04+00:00,0.665
2025-02-21T00:00:05+00:00,0.645
2025-02-22T00:00:05+00:00,0.595
2025-02-23T00:00:04+00:00,0.615
2025-02-24T00:00:04+00:00,0.615
2025-02-25T00:00:04+00:00,0.605
2025-02-26T00:00:05+00:00,0.5
2025-02-27T00:00:05+00:00,0.455
2025-02-28T00:00:05+00:00,0.45
2025-03-01T00:00:05+00:00,0.405
2025-03-02T00:00:05+00:00,0.43
2025-03-03T00:00:05+00:00,0.425
2025-03-04T00:00:05+00:00,0.34
2025-03-05T00:00:04+00:00,0.385
2025-03-06T00:00:05+00:00,0.365
2025-03-07T00:00:05+00:00,0.365
2025-03-08T00:00:05+00:00,0.315
2025-03-09T00:00:05+00:00,0.31
2025-03-10T00:00:04+00:00,0.315
2025-03-11T00:00:05+00:00,0.225
2025-03-12T00:00:05+00:00,0.255
2025-03-13T00:00:06+00:00,0.375
2025-03-14T00:00:05+00:00,0.345
2025-03-15T00:00:04+00:00,0.32
2025-03-16T00:00:04+00:00,0.315
2025-03-17T00:00:04+00:00,0.315
2025-03-18T00:00:05+00:00,0.375
2025-03-19T00:00:05+00:00,0.395
2025-03-20T00:00:05+00:00,0.455
2025-03-21T00:00:05+00:00,0.365
2025-03-22T00:00:06+00:00,0.345
2025-03-23T00:00:06+00:00,0.345
2025-03-24T00:00:05+00:00,0.345
2025-03-25T00:00:06+00:00,0.405
2025-03-26T00:00:05+00:00,0.425
2025-03-27T00:00:06+00:00,0.415
2025-03-28T00:00:06+00:00,0.415
2025-03-29T00:00:06+00:00,0.39
2025-03-30T00:00:06+00:00,0.395
2025-03-31T00:00:05+00:00,0.395
2025-04-01T00:00:05+00:00,0.43
2025-04-02T00:00:06+00:00,0.425
2025-04-03T00:00:05+00:00,0.43
2025-04-04T00:00:05+00:00,0.39
2025-04-05T00:00:05+00:00,0.33
2025-04-06T00:00:05+00:00,0.375
2025-04-07T00:00:06+00:00,0.33
2025-04-08T00:00:06+00:00,0.34
2025-04-09T00:00:06+00:00,0.34
2025-04-10T00:00:05+00:00,0.425
2025-04-11T00:00:05+00:00,0.36
2025-04-12T00:00:06+00:00,0.37
2025-04-13T00:00:05+00:00,0.405
2025-04-14T00:00:05+00:00,0.4
2025-04-15T00:00:05+00:00,0.405
2025-04-16T00:00:05+00:00,0.415
2025-04-17T00:00:06+00:00,0.435
2025-04-18T00:00:04+00:00,0.45
2025-04-19T00:00:06+00:00,0.48
2025-04-20T00:00:06+00:00,0.48
2025-04-21T00:00:06+00:00,0.47
2025-04-22T00:00:06+00:00,0.455
2025-04-23T00:00:07+00:00,0.46
2025-04-24T00:00:06+00:00,0.475
2025-04-25T00:00:06+00:00,0.45
2025-04-26T00:00:06+00:00,0.51
2025-04-27T00:00:05+00:00,0.52
2025-04-28T00:00:05+00:00,0.505
2025-04-29T00:00:05+00:00,0.515
2025-04-30T00:00:06+00:00,0.515
2025-05-01T00:00:06+00:00,0.515
2025-05-02T00:00:06+00:00,0.49
2025-05-03T00:00:06+00:00,0.67
2025-05-04T00:00:05+00:00,0.69
2025-05-05T00:00:05+00:00,0.71
2025-05-06T00:00:06+00:00,0.735
2025-05-07T00:00:05+00:00,0.73
2025-05-08T00:00:06+00:00,0.825
2025-05-09T00:00:07+00:00,0.835
2025-05-10T00:00:06+00:00,0.855
2025-05-11T00:00:06+00:00,0.855
2025-05-12T00:00:06+00:00,0.855
2025-05-13T00:00:06+00:00,0.895
2025-05-14T00:00:07+00:00,0.875
2025-05-15T00:00:07+00:00,0.885
2025-05-16T00:00:06+00:00,0.875
2025-05-17T00:00:07+00:00,0.875
2025-05-18T00:00:06+00:00,0.875
2025-05-19T00:00:06+00:00,0.895
2025-05-20T00:00:06+00:00,0.885
2025-05-21T00:00:06+00:00,0.905
2025-05-22T00:00:07+00:00,0.915
2025-05-23T00:00:07+00:00,0.915
2025-05-24T00:00:07+00:00,0.925
2025-05-25T00:00:06+00:00,0.915
2025-05-26T00:00:07+00:00,0.925
2025-05-27T00:00:06+00:00,0.935
2025-05-28T00:00:06+00:00,0.94
2025-05-29T00:00:07+00:00,0.955
2025-05-30T00:00:07+00:00,0.955
2025-05-31T00:00:07+00:00,0.955
2025-06-01T00:00:07+00:00,0.955
2025-06-02T00:00:06+00:00,0.959
2025-06-03T00:00:07+00:00,0.9575
2025-06-04T00:00:06+00:00,0.971
2025-06-05T00:00:06+00:00,0.9635
2025-06-06T00:00:06+00:00,0.966
2025-06-07T00:00:07+00:00,0.98
2025-06-08T00:00:07+00:00,0.9805
2025-06-09T00:00:07+00:00,0.9765
2025-06-10T00:00:06+00:00,0.971
2025-06-11T00:00:07+00:00,0.9755
2025-06-12T00:00:07+00:00,0.9745
2025-06-13T00:00:07+00:00,0.9715
2025-06-14T00:00:08+00:00,0.9695
2025-06-15T00:00:08+00:00,0.973
2025-06-16T00:00:07+00:00,0.9755
2025-06-17T00:00:08+00:00,0.9775
2025-06-18T00:00:08+00:00,0.9835
