datetime,price
2025-06-20T00:00:08+00:00,0.475
2025-06-21T00:00:08+00:00,0.515
2025-06-22T00:00:06+00:00,0.505
2025-06-23T00:00:07+00:00,0.505
2025-06-24T00:00:07+00:00,0.49
2025-06-25T00:00:07+00:00,0.435
2025-06-26T00:00:08+00:00,0.425
2025-06-27T00:00:07+00:00,0.405
2025-06-28T00:00:07+00:00,0.325
2025-06-29T00:00:08+00:00,0.305
2025-06-30T00:00:07+00:00,0.32
2025-07-01T00:00:08+00:00,0.305
2025-07-02T00:00:07+00:00,0.305
2025-07-03T00:00:08+00:00,0.365
2025-07-04T00:00:08+00:00,0.385
2025-07-05T00:00:08+00:00,0.39
2025-07-06T00:00:07+00:00,0.415
2025-07-07T00:00:07+00:00,0.41
2025-07-08T00:00:08+00:00,0.405
2025-07-09T00:00:07+00:00,0.39
2025-07-10T00:00:08+00:00,0.385
2025-07-11T00:00:08+00:00,0.37
2025-07-12T00:00:09+00:00,0.37
2025-07-13T00:00:08+00:00,0.375
2025-07-14T00:00:07+00:00,0.375
2025-07-15T00:00:08+00:00,0.37
2025-07-16T00:00:08+00:00,0.37
2025-07-17T00:00:08+00:00,0.375
2025-07-18T00:00:08+00:00,0.395
2025-07-19T00:00:09+00:00,0.405
2025-07-20T00:00:08+00:00,0.44
2025-07-21T00:00:07+00:00,0.435
2025-07-22T00:00:09+00:00,0.435
2025-07-23T00:00:09+00:00,0.435
2025-07-24T00:00:09+00:00,0.455
2025-07-25T00:00:09+00:00,0.45
2025-07-26T00:00:09+00:00,0.46
2025-07-27T00:00:10+00:00,0.455
2025-07-28T00:00:09+00:00,0.455
2025-07-29T00:00:10+00:00,0.455
2025-07-30T00:00:10+00:00,0.455
2025-07-31T00:00:08+00:00,0.49
2025-08-01T00:00:09+00:00,0.52
2025-08-02T00:00:09+00:00,0.355
2025-08-03T00:00:08+00:00,0.355
2025-08-04T00:00:07+00:00,0.34
2025-08-05T00:00:08+00:00,0.35
2025-08-06T00:00:09+00:00,0.345
2025-08-07T00:00:04+00:00,0.345
2025-08-08T00:00:07+00:00,0.35
2025-08-09T00:00:08+00:00,0.335
2025-08-10T00:00:07+00:00,0.34
2025-08-11T00:00:07+00:00,0.355
2025-08-12T00:00:06+00:00,0.36
2025-08-13T00:00:09+00:00,0.365
2025-08-14T00:00:02+00:00,0.34
2025-08-15T00:00:06+00:00,0.365
2025-08-16T00:00:03+00:00,0.37
2025-08-17T00:00:10+00:00,0.365
2025-08-18T00:00:07+00:00,0.365
2025-08-19T00:00:05+00:00,0.365
2025-08-20T00:00:05+00:00,0.365
2025-08-21T00:00:06+00:00,0.37
2025-08-22T00:00:02+00:00,0.39
2025-08-23T00:00:04+00:00,0.445
2025-08-24T00:00:02+00:00,0.425
2025-08-25T00:00:06+00:00,0.45
2025-08-26T00:00:06+00:00,0.45
2025-08-27T00:00:08+00:00,0.45
2025-08-28T00:00:06+00:00,0.45
2025-08-29T00:00:11+00:00,0.45
2025-08-30T00:00:12+00:00,0.45
2025-08-31T00:00:10+00:00,0.435
2025-09-01T00:00:06+00:00,0.445
2025-09-02T00:00:11+00:00,0.455
2025-09-03T00:00:15+00:00,0.44
2025-09-04T00:00:05+00:00,0.435
2025-09-05T00:00:09+00:00,0.455
2025-09-06T00:00:17+00:00,0.36
2025-09-07T00:00:04+00:00,0.425
2025-09-08T00:00:17+00:00,0.4
2025-09-09T00:00:10+00:00,0.42
2025-09-10T00:00:14+00:00,0.375
2025-09-11T00:00:12+00:00,0.285
2025-09-12T00:00:05+00:00,0.265
2025-09-13T00:00:08+00:00,0.26
2025-09-14T00:00:11+00:00,0.26
2025-09-15T00:00:04+00:00,0.225
2025-09-16T00:00:23+00:00,0.22
2025-09-17T00:00:13+00:00,0.195
2025-09-18T00:00:09+00:00,0.145
2025-09-19T00:00:15+00:00,0.115
2025-09-20T00:00:18+00:00,0.105
2025-09-21T00:00:11+00:00,0.105
2025-09-22T00:00:16+00:00,0.105
2025-09-23T00:00:05+00:00,0.125
2025-09-24T00:00:07+00:00,0.125
2025-09-25T00:00:07+00:00,0.135
2025-09-26T00:00:04+00:00,0.165
2025-09-27T00:00:05+00:00,0.155
2025-09-28T00:00:14+00:00,0.155
2025-09-29T00:00:07+00:00,0.155
2025-09-30T00:00:02+00:00,0.155
2025-10-01T00:00:05+00:00,0.105
2025-10-02T00:00:07+00:00,0.055
2025-10-03T00:00:11+00:00,0.065
2025-10-04T00:00:10+00:00,0.065
2025-10-05T00:00:07+00:00,0.065
2025-10-06T00:00:05+00:00,0.075
2025-10-07T00:00:09+00:00,0.075
2025-10-08T00:00:14+00:00,0.085
2025-10-09T00:00:07+00:00,0.085
2025-10-10T00:00:08+00:00,0.075
2025-10-11T00:00:04+00:00,0.065
2025-10-12T00:00:06+00:00,0.055
2025-10-13T00:00:16+00:00,0.055
2025-10-14T00:00:03+00:00,0.055
2025-10-15T00:00:13+00:00,0.045
2025-10-16T00:00:17+00:00,0.0315
2025-10-17T00:00:08+00:00,0.0275
2025-10-18T00:00:18+00:00,0.0245
2025-10-19T00:00:15+00:00,0.0265
2025-10-20T00:00:21+00:00,0.026
2025-10-21T00:00:12+00:00,0.0235
2025-10-22T00:00:23+00:00,0.0225
2025-10-23T00:00:12+00:00,0.0235
2025-10-24T00:00:19+00:00,0.0225
2025-10-25T00:00:17+00:00,0.0145
2025-10-26T00:00:21+00:00,0.01
2025-10-27T00:00:18+00:00,0.0085
2025-10-28T00:00:22+00:00,0.0115
2025-10-29T00:00:22+00:00,0.0115
