datetime,price
2025-09-27T00:00:06+00:00,0.255
2025-09-28T00:00:09+00:00,0.215
2025-09-29T00:00:08+00:00,0.22
2025-09-30T00:00:11+00:00,0.22
2025-10-01T00:00:08+00:00,0.215
2025-10-02T00:00:09+00:00,0.245
2025-10-03T00:00:09+00:00,0.225
2025-10-04T00:00:08+00:00,0.215
2025-10-05T00:00:05+00:00,0.225
2025-10-06T00:00:07+00:00,0.22
2025-10-07T00:00:10+00:00,0.225
2025-10-08T00:00:02+00:00,0.225
2025-10-09T00:00:12+00:00,0.225
2025-10-10T00:00:11+00:00,0.215
2025-10-11T00:00:07+00:00,0.195
2025-10-12T00:00:02+00:00,0.185
2025-10-13T00:00:13+00:00,0.18
2025-10-14T00:00:15+00:00,0.16
2025-10-15T00:00:12+00:00,0.15
2025-10-16T00:00:15+00:00,0.15
2025-10-17T00:00:12+00:00,0.24
2025-10-18T00:00:19+00:00,0.16
2025-10-19T00:00:12+00:00,0.155
2025-10-20T00:00:08+00:00,0.16
2025-10-21T00:00:17+00:00,0.155
2025-10-22T00:00:26+00:00,0.155
2025-10-23T00:00:12+00:00,0.155
2025-10-24T00:00:22+00:00,0.16
2025-10-25T00:00:19+00:00,0.14
2025-10-26T00:00:24+00:00,0.105
2025-10-27T00:00:21+00:00,0.065
2025-10-28T00:00:26+00:00,0.065
2025-10-29T00:00:24+00:00,0.075
2025-10-30T00:00:24+00:00,0.195
2025-10-31T00:00:16+00:00,0.175
2025-11-01T00:00:25+00:00,0.23
2025-11-02T00:00:19+00:00,0.225
2025-11-03T00:00:23+00:00,0.265
2025-11-04T00:00:22+00:00,0.27
2025-11-05T00:00:26+00:00,0.265
2025-11-06T00:00:15+00:00,0.19
2025-11-07T00:00:26+00:00,0.14
2025-11-08T00:00:16+00:00,0.115
2025-11-09T00:00:37+00:00,0.11
2025-11-10T00:00:16+00:00,0.125
2025-11-11T00:00:26+00:00,0.15
2025-11-12T00:00:22+00:00,0.15
2025-11-13T00:00:24+00:00,0.155
2025-11-14T00:00:23+00:00,0.175
2025-11-15T00:00:30+00:00,0.275
2025-11-16T00:00:18+00:00,0.29
2025-11-17T00:00:26+00:00,0.26
2025-11-18T00:00:19+00:00,0.32
2025-11-19T00:00:29+00:00,0.295
2025-11-20T00:00:18+00:00,0.295
2025-11-21T00:00:32+00:00,0.425
2025-11-22T00:00:20+00:00,0.255
2025-11-23T00:00:21+00:00,0.21
2025-11-24T00:00:17+00:00,0.205
2025-11-25T00:00:26+00:00,0.16
2025-11-26T00:00:20+00:00,0.08
2025-11-27T00:00:27+00:00,0.047
2025-11-28T00:00:24+00:00,0.0405
2025-11-29T00:00:34+00:00,0.052
2025-11-30T00:00:25+00:00,0.051
2025-12-01T00:00:30+00:00,0.056
2025-12-02T00:00:18+00:00,0.0475
2025-12-03T00:00:29+00:00,0.046
2025-12-04T00:00:18+00:00,0.0455
2025-12-05T00:00:21+00:00,0.039
2025-12-06T00:00:22+00:00,0.047
2025-12-07T00:00:35+00:00,0.039
2025-12-08T00:00:34+00:00,0.038
2025-12-09T00:00:31+00:00,0.044
2025-12-10T00:00:18+00:00,0.0405
