datetime,price
2026-02-21T00:00:24+00:00,0.435
2026-02-22T00:00:25+00:00,0.175
2026-02-23T00:00:27+00:00,0.24
2026-02-24T00:00:27+00:00,0.225
2026-02-25T00:00:30+00:00,0.215
2026-02-26T00:00:28+00:00,0.215
2026-02-27T00:00:32+00:00,0.165
2026-02-28T00:00:34+00:00,0.17
2026-03-01T00:00:41+00:00,0.145
2026-03-02T00:00:45+00:00,0.155
2026-03-03T00:00:35+00:00,0.17
2026-03-04T00:00:37+00:00,0.18
2026-03-05T00:00:34+00:00,0.175
2026-03-06T00:00:33+00:00,0.21
2026-03-07T00:00:38+00:00,0.275
2026-03-08T00:00:32+00:00,0.16
2026-03-09T00:00:27+00:00,0.12
2026-03-10T00:00:32+00:00,0.105
2026-03-11T00:00:36+00:00,0.075
2026-03-12T00:00:36+00:00,0.075
2026-03-13T00:00:52+00:00,0.05
2026-03-14T00:00:52+00:00,0.045
2026-03-15T00:00:57+00:00,0.105
2026-03-17T00:00:43+00:00,0.05
2026-03-18T00:00:45+00:00,0.04
2026-03-20T00:00:49+00:00,0.036
2026-03-21T00:00:48+00:00,0.0075
2026-03-22T00:00:45+00:00,0.006
2026-03-23T00:00:39+00:00,0.0055
2026-03-24T00:00:35+00:00,0.0075
2026-03-25T00:00:46+00:00,0.0105
2026-03-26T00:00:50+00:00,0.009
2026-03-27T00:00:42+00:00,0.008
2026-03-28T00:00:44+00:00,0.0065
2026-03-29T00:00:49+00:00,0.0065
2026-03-31T00:00:58+00:00,0.005
