datetime,price
2026-02-26T00:00:34+00:00,0.475
2026-02-27T00:00:38+00:00,0.46
2026-02-28T00:00:38+00:00,0.485
2026-03-01T00:00:49+00:00,0.47
2026-03-02T00:00:49+00:00,0.47
2026-03-03T00:00:41+00:00,0.47
2026-03-04T00:00:43+00:00,0.465
2026-03-05T00:00:40+00:00,0.55
2026-03-06T00:00:39+00:00,0.48
2026-03-07T00:00:44+00:00,0.405
2026-03-08T00:00:36+00:00,0.315
2026-03-09T00:00:31+00:00,0.21
2026-03-10T00:00:38+00:00,0.17
2026-03-11T00:00:41+00:00,0.15
2026-03-12T00:00:42+00:00,0.56
2026-03-13T00:00:58+00:00,0.59
2026-03-14T00:00:55+00:00,0.705
