datetime,price
2025-02-01T00:00:05+00:00,0.25
2025-02-02T00:00:04+00:00,0.405
2025-02-03T00:00:05+00:00,0.41
2025-02-04T00:00:04+00:00,0.43
2025-02-05T00:00:04+00:00,0.445
2025-02-06T00:00:05+00:00,0.37
2025-02-07T00:00:04+00:00,0.5
2025-02-08T00:00:04+00:00,0.43
2025-02-09T00:00:06+00:00,0.43
2025-02-10T00:00:05+00:00,0.45
2025-02-11T00:00:04+00:00,0.45
2025-02-12T00:00:04+00:00,0.405
2025-02-13T00:00:04+00:00,0.415
2025-02-14T00:00:05+00:00,0.415
2025-02-15T00:00:04+00:00,0.415
2025-02-16T00:00:04+00:00,0.495
2025-02-17T00:00:04+00:00,0.46
2025-02-18T00:00:04+00:00,0.48
2025-02-19T00:00:04+00:00,0.445
2025-02-20T00:00:04+00:00,0.44
2025-02-21T00:00:05+00:00,0.435
2025-02-22T00:00:05+00:00,0.435
2025-02-23T00:00:04+00:00,0.435
2025-02-24T00:00:04+00:00,0.4
2025-02-25T00:00:04+00:00,0.38
2025-02-26T00:00:05+00:00,0.375
2025-02-27T00:00:05+00:00,0.37
2025-02-28T00:00:05+00:00,0.365
2025-03-01T00:00:05+00:00,0.365
2025-03-02T00:00:05+00:00,0.37
2025-03-03T00:00:05+00:00,0.375
2025-03-04T00:00:05+00:00,0.375
2025-03-05T00:00:04+00:00,0.38
2025-03-06T00:00:05+00:00,0.39
2025-03-07T00:00:05+00:00,0.35
2025-03-08T00:00:05+00:00,0.41
2025-03-09T00:00:05+00:00,0.445
2025-03-10T00:00:04+00:00,0.445
2025-03-11T00:00:05+00:00,0.45
2025-03-12T00:00:05+00:00,0.475
2025-03-13T00:00:06+00:00,0.49
2025-03-14T00:00:05+00:00,0.545
2025-03-15T00:00:04+00:00,0.505
2025-03-16T00:00:04+00:00,0.46
2025-03-17T00:00:04+00:00,0.43
2025-03-18T00:00:05+00:00,0.42
2025-03-19T00:00:05+00:00,0.395
