datetime,price
2025-02-01T00:00:05+00:00,0.4
2025-02-02T00:00:04+00:00,0.31
2025-02-03T00:00:05+00:00,0.275
2025-02-04T00:00:04+00:00,0.28
2025-02-05T00:00:04+00:00,0.21
2025-02-06T00:00:05+00:00,0.265
2025-02-07T00:00:04+00:00,0.24
2025-02-08T00:00:04+00:00,0.24
2025-02-09T00:00:06+00:00,0.245
2025-02-10T00:00:05+00:00,0.24
2025-02-11T00:00:04+00:00,0.26
2025-02-12T00:00:04+00:00,0.27
2025-02-13T00:00:04+00:00,0.27
2025-02-14T00:00:05+00:00,0.26
2025-02-15T00:00:04+00:00,0.21
2025-02-16T00:00:04+00:00,0.22
2025-02-17T00:00:04+00:00,0.22
2025-02-18T00:00:04+00:00,0.22
2025-02-19T00:00:04+00:00,0.215
2025-02-20T00:00:04+00:00,0.245
2025-02-21T00:00:05+00:00,0.245
2025-02-22T00:00:05+00:00,0.245
2025-02-23T00:00:04+00:00,0.215
2025-02-24T00:00:04+00:00,0.205
2025-02-25T00:00:04+00:00,0.215
2025-02-26T00:00:05+00:00,0.225
2025-02-27T00:00:05+00:00,0.225
2025-02-28T00:00:05+00:00,0.255
2025-03-01T00:00:05+00:00,0.14
2025-03-02T00:00:05+00:00,0.19
2025-03-03T00:00:05+00:00,0.165
2025-03-04T00:00:05+00:00,0.225
2025-03-05T00:00:04+00:00,0.235
2025-03-06T00:00:05+00:00,0.235
2025-03-07T00:00:05+00:00,0.24
2025-03-08T00:00:05+00:00,0.335
2025-03-09T00:00:05+00:00,0.32
2025-03-10T00:00:04+00:00,0.29
2025-03-11T00:00:05+00:00,0.285
2025-03-12T00:00:05+00:00,0.28
2025-03-13T00:00:06+00:00,0.28
2025-03-14T00:00:05+00:00,0.27
2025-03-15T00:00:04+00:00,0.35
2025-03-16T00:00:04+00:00,0.28
2025-03-17T00:00:04+00:00,0.29
2025-03-18T00:00:05+00:00,0.3
2025-03-19T00:00:05+00:00,0.24
