datetime,price
2024-11-16T00:00:03+00:00,0.65
2024-11-17T00:00:03+00:00,0.68
2024-11-18T00:00:03+00:00,0.585
2024-11-19T00:00:03+00:00,0.605
2024-11-20T00:00:03+00:00,0.42
2024-11-21T00:00:03+00:00,0.38
2024-11-22T00:00:03+00:00,0.355
2024-11-23T00:00:04+00:00,0.35
2024-11-24T00:00:03+00:00,0.355
2024-11-25T00:00:03+00:00,0.355
2024-11-26T00:00:04+00:00,0.375
2024-11-27T00:00:03+00:00,0.405
2024-11-28T00:00:03+00:00,0.42
2024-11-29T00:00:04+00:00,0.405
2024-11-30T00:00:03+00:00,0.46
2024-12-01T00:00:03+00:00,0.5
2024-12-02T00:00:03+00:00,0.475
2024-12-03T00:00:03+00:00,0.475
2024-12-04T00:00:03+00:00,0.48
2024-12-05T00:00:03+00:00,0.48
2024-12-06T00:00:03+00:00,0.545
2024-12-07T00:00:03+00:00,0.6
2024-12-08T00:00:03+00:00,0.615
2024-12-09T00:00:02+00:00,0.66
2024-12-10T00:00:03+00:00,0.635
2024-12-11T00:00:03+00:00,0.525
2024-12-12T00:00:03+00:00,0.555
2024-12-13T00:00:03+00:00,0.555
2024-12-14T00:00:03+00:00,0.565
2024-12-15T00:00:03+00:00,0.555
2024-12-16T00:00:03+00:00,0.555
2024-12-17T00:00:04+00:00,0.475
2024-12-18T00:00:03+00:00,0.43
