datetime,price
2025-10-31T00:00:09+00:00,0.22
2025-11-01T00:00:14+00:00,0.08
2025-11-02T00:00:11+00:00,0.075
2025-11-03T00:00:12+00:00,0.075
2025-11-04T00:00:13+00:00,0.065
2025-11-05T00:00:13+00:00,0.065
2025-11-06T00:00:09+00:00,0.055
2025-11-07T00:00:13+00:00,0.055
2025-11-08T00:00:10+00:00,0.055
2025-11-09T00:00:26+00:00,0.055
2025-11-10T00:00:09+00:00,0.055
2025-11-11T00:00:15+00:00,0.045
2025-11-12T00:00:14+00:00,0.045
2025-11-13T00:00:12+00:00,0.05
2025-11-14T00:00:13+00:00,0.045
2025-11-15T00:00:15+00:00,0.045
2025-11-16T00:00:11+00:00,0.045
2025-11-17T00:00:13+00:00,0.045
2025-11-18T00:00:11+00:00,0.0305
2025-11-19T00:00:15+00:00,0.03
2025-11-20T00:00:11+00:00,0.03
2025-11-21T00:00:16+00:00,0.029
2025-11-22T00:00:12+00:00,0.027
2025-11-23T00:00:12+00:00,0.0255
2025-11-24T00:00:13+00:00,0.023
2025-11-25T00:00:14+00:00,0.023
2025-11-26T00:00:12+00:00,0.027
2025-11-27T00:00:15+00:00,0.0405
2025-11-28T00:00:14+00:00,0.029
2025-11-29T00:00:18+00:00,0.029
2025-11-30T00:00:14+00:00,0.0285
2025-12-01T00:00:15+00:00,0.026
2025-12-02T00:00:11+00:00,0.026
2025-12-03T00:00:17+00:00,0.032
2025-12-04T00:00:12+00:00,0.0265
2025-12-05T00:00:13+00:00,0.032
2025-12-06T00:00:14+00:00,0.0335
2025-12-07T00:00:26+00:00,0.027
2025-12-08T00:00:26+00:00,0.0285
2025-12-09T00:00:23+00:00,0.0185
2025-12-10T00:00:12+00:00,0.007
