datetime,price
2026-03-21T00:00:56+00:00,0.46
2026-03-22T00:00:54+00:00,0.48
2026-03-23T00:00:46+00:00,0.495
2026-03-24T00:00:41+00:00,0.405
2026-03-25T00:00:49+00:00,0.5
2026-03-26T00:00:53+00:00,0.46
2026-03-27T00:00:56+00:00,0.425
2026-04-05T00:00:26+00:00,0.56
2026-04-09T00:00:42+00:00,0.57
2026-04-12T00:00:26+00:00,0.56
2026-04-18T00:00:35+00:00,0.735
2026-04-22T00:00:17+00:00,0.705
2026-04-23T00:00:22+00:00,0.735
2026-04-24T00:00:35+00:00,0.695
2026-04-25T00:00:16+00:00,0.83
2026-04-26T00:00:10+00:00,0.845
2026-04-27T00:00:14+00:00,0.86
2026-04-28T00:00:15+00:00,0.835
2026-04-29T00:00:12+00:00,0.88
