datetime,price
2026-02-13T00:00:44+00:00,0.55
2026-02-14T00:00:49+00:00,0.5
2026-02-15T00:00:48+00:00,0.475
2026-02-16T00:00:58+00:00,0.45
2026-02-17T00:00:52+00:00,0.565
2026-02-18T00:00:54+00:00,0.42
2026-02-19T00:00:58+00:00,0.485
2026-02-20T00:00:53+00:00,0.45
2026-02-21T00:00:35+00:00,0.43
2026-02-22T00:00:35+00:00,0.475
2026-02-23T00:00:42+00:00,0.46
2026-02-24T00:00:44+00:00,0.45
2026-02-25T00:00:49+00:00,0.625
2026-02-26T00:00:43+00:00,0.575
2026-02-27T00:00:49+00:00,0.75
2026-02-28T00:00:47+00:00,0.78
2026-03-02T00:00:57+00:00,0.415
2026-03-03T00:00:53+00:00,0.505
2026-03-04T00:00:54+00:00,0.485
2026-03-05T00:00:50+00:00,0.485
2026-03-06T00:00:49+00:00,0.325
2026-03-07T00:00:54+00:00,0.36
2026-03-08T00:00:43+00:00,0.365
2026-03-09T00:00:40+00:00,0.38
2026-03-10T00:00:48+00:00,0.485
2026-03-11T00:00:51+00:00,0.545
2026-03-12T00:00:53+00:00,0.7
2026-03-14T00:00:43+00:00,0.76
2026-03-15T00:00:45+00:00,0.775
2026-03-16T00:00:56+00:00,0.81
2026-03-17T00:00:37+00:00,0.785
2026-03-18T00:00:38+00:00,0.77
