datetime,price
2026-02-13T00:00:24+00:00,0.43
2026-02-14T00:00:28+00:00,0.27
2026-02-15T00:00:26+00:00,0.385
2026-02-16T00:00:36+00:00,0.39
2026-02-17T00:00:26+00:00,0.365
2026-02-18T00:00:29+00:00,0.44
2026-02-19T00:00:29+00:00,0.375
2026-02-20T00:00:29+00:00,0.335
2026-02-21T00:00:22+00:00,0.325
2026-02-22T00:00:22+00:00,0.34
2026-02-23T00:00:25+00:00,0.32
2026-02-24T00:00:25+00:00,0.33
2026-02-25T00:00:26+00:00,0.315
2026-02-26T00:00:25+00:00,0.27
2026-02-27T00:00:29+00:00,0.175
2026-02-28T00:00:32+00:00,0.175
2026-03-01T00:00:36+00:00,0.47
2026-03-02T00:00:42+00:00,0.45
2026-03-03T00:00:31+00:00,0.415
2026-03-04T00:00:35+00:00,0.445
2026-03-05T00:00:32+00:00,0.44
2026-03-06T00:00:31+00:00,0.445
2026-03-07T00:00:34+00:00,0.46
2026-03-08T00:00:30+00:00,0.46
2026-03-09T00:00:25+00:00,0.395
2026-03-10T00:00:30+00:00,0.325
2026-03-11T00:00:33+00:00,0.265
2026-03-12T00:00:33+00:00,0.18
2026-03-13T00:00:49+00:00,0.205
2026-03-14T00:00:51+00:00,0.195
2026-03-15T00:00:56+00:00,0.19
2026-03-17T00:00:42+00:00,0.16
2026-03-18T00:00:44+00:00,0.135
