datetime,price
2026-01-06T00:00:27+00:00,0.495
2026-01-07T00:00:25+00:00,0.195
2026-01-08T00:00:41+00:00,0.24
2026-01-09T00:00:26+00:00,0.245
2026-01-10T00:00:27+00:00,0.25
2026-01-11T00:00:23+00:00,0.255
2026-01-12T00:00:25+00:00,0.205
2026-01-13T00:00:26+00:00,0.095
2026-01-14T00:00:28+00:00,0.1
2026-01-15T00:00:30+00:00,0.09
2026-01-16T00:00:33+00:00,0.085
2026-01-17T00:00:30+00:00,0.07
2026-01-18T00:00:49+00:00,0.065
2026-01-19T00:00:25+00:00,0.06
2026-01-20T00:00:27+00:00,0.05
2026-01-21T00:00:29+00:00,0.05
2026-01-22T00:00:46+00:00,0.05
2026-01-23T00:00:47+00:00,0.05
2026-01-24T00:00:47+00:00,0.045
2026-01-25T00:00:50+00:00,0.055
2026-01-26T00:00:49+00:00,0.055
2026-01-27T00:00:42+00:00,0.04
2026-01-28T00:00:31+00:00,0.165
2026-01-29T00:00:46+00:00,0.15
2026-01-30T00:00:36+00:00,0.165
2026-01-31T00:00:36+00:00,0.16
2026-02-01T00:00:45+00:00,0.115
2026-02-02T00:00:35+00:00,0.115
2026-02-03T00:00:39+00:00,0.125
2026-02-04T00:00:48+00:00,0.125
2026-02-05T00:00:33+00:00,0.11
2026-02-06T00:00:43+00:00,0.115
2026-02-07T00:00:53+00:00,0.105
2026-02-08T00:00:48+00:00,0.1
2026-02-09T00:00:46+00:00,0.09
2026-02-10T00:00:49+00:00,0.085
2026-02-12T00:00:58+00:00,0.085
2026-02-13T00:00:49+00:00,0.08
2026-02-14T00:00:54+00:00,0.07
2026-02-15T00:00:56+00:00,0.065
2026-02-17T00:00:59+00:00,0.545
2026-02-21T00:00:39+00:00,0.395
2026-02-22T00:00:40+00:00,0.22
2026-02-23T00:00:48+00:00,0.23
