datetime,price
2026-01-06T00:00:15+00:00,0.49
2026-01-07T00:00:12+00:00,0.485
2026-01-08T00:00:28+00:00,0.47
2026-01-09T00:00:13+00:00,0.415
2026-01-10T00:00:13+00:00,0.425
2026-01-11T00:00:12+00:00,0.5
2026-01-12T00:00:14+00:00,0.475
2026-01-13T00:00:14+00:00,0.39
2026-01-14T00:00:13+00:00,0.465
2026-01-15T00:00:15+00:00,0.47
2026-01-16T00:00:17+00:00,0.475
2026-01-17T00:00:15+00:00,0.465
2026-01-18T00:00:19+00:00,0.47
2026-01-19T00:00:13+00:00,0.465
2026-01-20T00:00:14+00:00,0.5
2026-01-21T00:00:15+00:00,0.49
2026-01-22T00:00:19+00:00,0.555
2026-01-23T00:00:30+00:00,0.545
2026-01-24T00:00:21+00:00,0.52
2026-01-25T00:00:33+00:00,0.505
2026-01-26T00:00:31+00:00,0.505
2026-01-27T00:00:27+00:00,0.51
2026-01-28T00:00:18+00:00,0.51
2026-01-29T00:00:32+00:00,0.5
2026-01-30T00:00:19+00:00,0.505
2026-01-31T00:00:19+00:00,0.51
2026-02-01T00:00:23+00:00,0.495
2026-02-02T00:00:18+00:00,0.51
2026-02-03T00:00:19+00:00,0.55
2026-02-04T00:00:31+00:00,0.625
2026-02-05T00:00:18+00:00,0.695
2026-02-06T00:00:22+00:00,0.69
2026-02-07T00:00:25+00:00,0.655
2026-02-08T00:00:23+00:00,0.63
2026-02-09T00:00:22+00:00,0.545
2026-02-10T00:00:23+00:00,0.715
2026-02-11T00:00:23+00:00,0.515
2026-02-12T00:00:34+00:00,0.5
2026-02-13T00:00:23+00:00,0.505
2026-02-14T00:00:26+00:00,0.455
2026-02-15T00:00:24+00:00,0.515
2026-02-16T00:00:35+00:00,0.56
2026-02-17T00:00:25+00:00,0.425
2026-02-18T00:00:26+00:00,0.445
2026-02-19T00:00:27+00:00,0.31
2026-02-20T00:00:27+00:00,0.38
2026-02-21T00:00:21+00:00,0.32
2026-02-22T00:00:22+00:00,0.365
2026-02-23T00:00:23+00:00,0.36
2026-02-24T00:00:23+00:00,0.395
2026-02-25T00:00:25+00:00,0.285
2026-02-26T00:00:24+00:00,0.215
2026-02-27T00:00:28+00:00,0.24
2026-02-28T00:00:31+00:00,0.255
2026-03-01T00:00:33+00:00,0.455
2026-03-02T00:00:42+00:00,0.675
2026-03-03T00:00:31+00:00,0.505
2026-03-04T00:00:33+00:00,0.55
2026-03-05T00:00:30+00:00,0.7
2026-03-06T00:00:29+00:00,0.65
2026-03-07T00:00:33+00:00,0.75
2026-03-08T00:00:29+00:00,0.735
2026-03-09T00:00:23+00:00,0.74
2026-03-10T00:00:28+00:00,0.705
2026-03-11T00:00:32+00:00,0.765
2026-03-12T00:00:31+00:00,0.785
2026-03-13T00:00:48+00:00,0.785
2026-03-14T00:00:51+00:00,0.87
2026-03-15T00:00:55+00:00,0.86
2026-03-17T00:00:42+00:00,0.87
2026-03-18T00:00:43+00:00,0.91
2026-03-19T00:00:58+00:00,0.89
2026-03-20T00:00:48+00:00,0.885
2026-03-21T00:00:47+00:00,0.945
2026-03-22T00:00:44+00:00,0.935
2026-03-23T00:00:37+00:00,0.935
2026-03-24T00:00:33+00:00,0.885
2026-03-25T00:00:45+00:00,0.925
2026-03-26T00:00:49+00:00,0.96
2026-03-27T00:00:41+00:00,0.955
2026-03-28T00:00:44+00:00,0.975
2026-03-29T00:00:49+00:00,0.9815
