datetime,price
2026-03-28T00:00:34+00:00,0.52
2026-03-29T00:00:37+00:00,0.59
2026-03-30T00:00:48+00:00,0.6
2026-03-31T00:00:44+00:00,0.655
2026-04-01T00:00:53+00:00,0.65
2026-04-02T00:00:47+00:00,0.665
2026-04-03T00:00:55+00:00,0.715
2026-04-04T00:00:51+00:00,0.705
2026-04-06T00:00:55+00:00,0.71
2026-04-07T00:00:50+00:00,0.63
2026-04-08T00:00:59+00:00,0.625
2026-04-09T00:00:11+00:00,0.635
2026-04-10T00:00:58+00:00,0.68
2026-04-11T00:00:55+00:00,0.65
2026-04-13T00:00:49+00:00,0.645
2026-04-15T00:00:52+00:00,0.725
2026-04-16T00:00:54+00:00,0.75
2026-04-17T00:00:54+00:00,0.635
2026-04-19T00:00:43+00:00,0.655
2026-04-20T00:00:46+00:00,0.645
2026-04-21T00:00:51+00:00,0.65
2026-04-22T00:00:05+00:00,0.68
2026-04-23T00:00:05+00:00,0.69
2026-04-24T00:00:18+00:00,0.695
2026-04-25T00:00:10+00:00,0.987
