datetime,price
2023-06-13T00:00:02+00:00,0.5
2023-06-14T00:00:02+00:00,0.515
2023-06-15T00:00:02+00:00,0.705
2023-06-16T00:00:02+00:00,0.67
2023-06-17T00:00:02+00:00,0.7
2023-06-18T00:00:02+00:00,0.71
2023-06-19T00:00:02+00:00,0.715
2023-06-20T00:00:02+00:00,0.695
2023-06-21T00:00:02+00:00,0.705
2023-06-22T00:00:02+00:00,0.725
2023-06-23T00:00:02+00:00,0.725
2023-06-24T00:00:02+00:00,0.725
2023-06-25T00:00:02+00:00,0.72
2023-06-26T00:00:02+00:00,0.72
2023-06-27T00:00:02+00:00,0.715
2023-06-28T00:00:02+00:00,0.72
2023-06-29T00:00:02+00:00,0.775
2023-06-30T00:00:02+00:00,0.815
2023-07-01T00:00:02+00:00,0.835
2023-07-02T00:00:02+00:00,0.855
2023-07-03T00:00:02+00:00,0.85
2023-07-04T00:00:02+00:00,0.85
2023-07-05T00:00:02+00:00,0.845
2023-07-06T00:00:02+00:00,0.875
2023-07-07T00:00:02+00:00,0.935
2023-07-08T00:00:02+00:00,0.935
2023-07-09T00:00:02+00:00,0.94
2023-07-10T00:00:02+00:00,0.935
2023-07-11T00:00:02+00:00,0.935
2023-07-12T00:00:02+00:00,0.925
2023-07-13T00:00:02+00:00,0.85
2023-07-14T00:00:02+00:00,0.945
2023-07-15T00:00:02+00:00,0.965
2023-07-16T00:00:02+00:00,0.955
2023-07-17T00:00:02+00:00,0.955
2023-07-18T00:00:02+00:00,0.955
2023-07-19T00:00:02+00:00,0.965
2023-07-20T00:00:02+00:00,0.965
2023-07-21T00:00:02+00:00,0.97
2023-07-22T00:00:02+00:00,0.97
2023-07-23T00:00:02+00:00,0.965
2023-07-24T00:00:02+00:00,0.98
2023-07-25T00:00:03+00:00,0.985
2023-07-26T00:00:02+00:00,0.975
