datetime,price
2026-01-21T00:00:26Z,0.325
2026-01-22T00:00:39Z,0.365
2026-01-23T00:00:43Z,0.315
2026-01-24T00:00:41Z,0.215
2026-01-25T00:00:46Z,0.215
2026-01-26T00:00:46Z,0.185
2026-01-27T00:00:39Z,0.15
2026-01-28T00:00:28Z,0.15
2026-01-29T00:00:43Z,0.16
2026-01-30T00:00:32Z,0.16
2026-01-31T00:00:33Z,0.16
2026-02-01T00:00:40Z,0.165
2026-02-02T00:00:32Z,0.165
2026-02-03T00:00:36Z,0.13
2026-02-04T00:00:44Z,0.155
2026-02-05T00:00:30Z,0.16
2026-02-06T00:00:39Z,0.165
2026-02-07T00:00:48Z,0.165
2026-02-08T00:00:43Z,0.165
2026-02-09T00:00:41Z,0.195
2026-02-10T00:00:44Z,0.165
2026-02-11T00:00:51Z,0.175
2026-02-12T00:00:53Z,0.185
2026-02-13T00:00:44Z,0.185
2026-02-14T00:00:49Z,0.185
2026-02-15T00:00:49Z,0.255
2026-02-16T00:00:59Z,0.265
2026-02-17T00:00:52Z,0.27
2026-02-18T00:00:56Z,0.255
2026-02-19T00:00:58Z,0.33
2026-02-20T00:00:53Z,0.325
2026-02-21T00:00:36Z,0.305
2026-02-22T00:00:36Z,0.24
2026-02-23T00:00:43Z,0.21
2026-02-24T00:00:44Z,0.205
2026-02-25T00:00:50Z,0.235
2026-02-26T00:00:44Z,0.22
2026-02-27T00:00:50Z,0.215
2026-02-28T00:00:47Z,0.21
2026-03-02T00:00:59Z,0.215
2026-03-03T00:00:54Z,0.24
2026-03-04T00:00:54Z,0.21
2026-03-05T00:00:50Z,0.195
2026-03-06T00:00:50Z,0.205
2026-03-07T00:00:54Z,0.21
2026-03-08T00:00:43Z,0.215
2026-03-09T00:00:40Z,0.21
2026-03-10T00:00:48Z,0.245
2026-03-11T00:00:51Z,0.215
2026-03-12T00:00:53Z,0.205
2026-03-14T00:00:59Z,0.305
2026-03-17T00:00:48Z,0.27
2026-03-18T00:00:50Z,0.34
2026-03-20T00:00:54Z,0.26
2026-03-21T00:00:54Z,0.24
2026-03-22T00:00:52Z,0.225
2026-03-23T00:00:44Z,0.27
2026-03-24T00:00:39Z,0.285
2026-03-25T00:00:37Z,0.285
2026-03-26T00:00:41Z,0.295
2026-03-27T00:00:50Z,0.305
2026-03-28T00:00:54Z,0.305
2026-03-29T00:00:59Z,0.305
2026-04-05T00:00:08Z,0.32
2026-04-09T00:00:33Z,0.33
2026-04-12T00:00:01Z,0.18
2026-04-22T00:00:09Z,0.22
2026-04-23T00:00:13Z,0.21
2026-04-24T00:00:23Z,0.205
2026-04-25T00:00:13Z,0.195
2026-04-26T00:00:07Z,0.17
2026-04-27T00:00:08Z,0.22
2026-04-28T00:00:09Z,0.205
2026-04-29T00:00:07Z,0.5
2026-04-30T00:00:13Z,0.48
2026-05-01T00:00:08Z,0.455
2026-05-02T00:00:06Z,0.28
2026-05-03T00:00:06Z,0.475
2026-05-04T00:00:05Z,0.52
2026-05-05T00:00:19Z,0.565
2026-05-06T00:00:09Z,0.395
2026-05-07T00:00:09Z,0.505
2026-05-08T00:00:05Z,0.365
2026-05-09T00:00:23Z,0.5
2026-05-10T00:00:07Z,0.37
2026-05-11T00:00:10Z,0.18
2026-05-12T00:00:10Z,0.401
2026-05-13T00:00:12Z,0.403
2026-05-14T00:00:16Z,0.3985
2026-05-15T00:00:09Z,0.2975
2026-05-15T02:05:08Z,0.2725
