datetime,price
2026-03-05T00:00:43+00:00,0.445
2026-03-06T00:00:41+00:00,0.425
2026-03-07T00:00:46+00:00,0.385
2026-03-08T00:00:38+00:00,0.405
2026-03-09T00:00:33+00:00,0.39
2026-03-10T00:00:40+00:00,0.53
2026-03-11T00:00:44+00:00,0.5
2026-03-12T00:00:44+00:00,0.455
2026-03-14T00:00:37+00:00,0.39
2026-03-15T00:00:38+00:00,0.395
2026-03-16T00:00:51+00:00,0.235
2026-03-17T00:00:33+00:00,0.285
2026-03-18T00:00:35+00:00,0.46
2026-03-19T00:00:43+00:00,0.425
2026-03-20T00:00:39+00:00,0.305
2026-03-21T00:00:37+00:00,0.295
2026-03-22T00:00:35+00:00,0.32
2026-03-23T00:00:29+00:00,0.425
2026-03-24T00:00:26+00:00,0.56
2026-03-25T00:00:42+00:00,0.59
2026-03-26T00:00:45+00:00,0.605
2026-03-27T00:00:39+00:00,0.57
2026-03-28T00:00:41+00:00,0.5
2026-03-29T00:00:45+00:00,0.53
2026-03-30T00:00:59+00:00,0.415
2026-03-31T00:00:54+00:00,0.47
2026-04-01T00:00:59+00:00,0.55
2026-04-02T00:00:55+00:00,0.545
