datetime,price
2025-10-07T00:00:06+00:00,0.24
2025-10-08T00:00:12+00:00,0.24
2025-10-09T00:00:05+00:00,0.255
2025-10-10T00:00:03+00:00,0.135
2025-10-11T00:00:07+00:00,0.51
2025-10-12T00:00:11+00:00,0.26
2025-10-13T00:00:17+00:00,0.27
2025-10-14T00:00:12+00:00,0.13
2025-10-15T00:00:10+00:00,0.265
2025-10-16T00:00:11+00:00,0.265
2025-10-17T00:00:13+00:00,0.27
2025-10-18T00:00:07+00:00,0.275
2025-10-19T00:00:08+00:00,0.12
2025-10-20T00:00:17+00:00,0.07
2025-10-21T00:00:07+00:00,0.04
2025-10-22T00:00:25+00:00,0.055
2025-10-23T00:00:12+00:00,0.045
2025-10-24T00:00:21+00:00,0.021
2025-10-25T00:00:19+00:00,0.0345
2025-10-26T00:00:23+00:00,0.036
2025-10-27T00:00:20+00:00,0.0325
2025-10-28T00:00:24+00:00,0.0325
2025-10-29T00:00:24+00:00,0.0295
2025-10-30T00:00:24+00:00,0.0295
2025-10-31T00:00:15+00:00,0.014
2025-11-01T00:00:23+00:00,0.003
