datetime,price
2025-12-13T00:00:22+00:00,0.23
2025-12-14T00:00:24+00:00,0.23
2025-12-15T00:00:26+00:00,0.26
2025-12-16T00:00:22+00:00,0.26
2025-12-17T00:00:19+00:00,0.235
2025-12-17T00:00:38+00:00,0.235
2025-12-18T00:00:28+00:00,0.245
2025-12-19T00:00:20+00:00,0.22
2025-12-20T00:00:20+00:00,0.21
2025-12-21T00:00:21+00:00,0.365
2025-12-22T00:00:21+00:00,0.36
2025-12-23T00:00:23+00:00,0.41
2025-12-24T00:00:23+00:00,0.35
2025-12-25T00:00:32+00:00,0.345
2025-12-26T00:00:16+00:00,0.355
2025-12-27T00:00:21+00:00,0.415
2025-12-28T00:00:21+00:00,0.39
2025-12-29T00:00:39+00:00,0.44
2025-12-30T00:00:25+00:00,0.43
2025-12-31T00:00:23+00:00,0.415
2026-01-01T00:00:23+00:00,0.4
2026-01-02T00:00:22+00:00,0.475
2026-01-03T00:00:19+00:00,0.47
2026-01-04T00:00:22+00:00,0.465
2026-01-05T00:00:25+00:00,0.45
2026-01-06T00:00:27+00:00,0.395
2026-01-07T00:00:24+00:00,0.415
2026-01-08T00:00:40+00:00,0.45
2026-01-09T00:00:25+00:00,0.51
2026-01-10T00:00:26+00:00,0.455
2026-01-11T00:00:22+00:00,0.475
2026-01-12T00:00:25+00:00,0.47
2026-01-13T00:00:26+00:00,0.455
2026-01-14T00:00:28+00:00,0.465
2026-01-15T00:00:29+00:00,0.445
2026-01-16T00:00:33+00:00,0.435
2026-01-17T00:00:29+00:00,0.49
2026-01-18T00:00:47+00:00,0.465
2026-01-19T00:00:24+00:00,0.36
2026-01-20T00:00:26+00:00,0.325
2026-01-21T00:00:28+00:00,0.355
2026-01-22T00:00:44+00:00,0.345
2026-01-23T00:00:46+00:00,0.39
2026-01-24T00:00:45+00:00,0.4
2026-01-25T00:00:49+00:00,0.395
2026-01-26T00:00:48+00:00,0.345
2026-01-27T00:00:41+00:00,0.345
2026-01-28T00:00:30+00:00,0.355
